Q_bauxite_[t/h],date,time,Q_liquid_mill13_[m3/h],Q_liquid_mixer13_[m3/h],Q_liquid_mixer14_[m3/h],l/s_mill13_unloading,plus_160_mill13_unloading_[%],minus_56_mill13_unloading_[%],l/s_sliv_hydrocyclone1,plus_160_sliv_hydrocyclone1_[%],minus_56_sliv_hydrocyclone1_[%],l/s_peski_hydrocyclone1,plus_160_peski_hydrocyclone1_[%],minus_56_peski_hydrocyclone1_[%],l/s_mill14_unloading,plus_160_mill14_unloading_[%],minus_56_mill14_unloading_[%],l/s_sliv_hydrocyclone2,plus_160_sliv_hydrocyclone2_[%],minus_56_sliv_hydrocyclone2_[%],l/s_peski_hydrocyclone2,plus_160_peski_hydrocyclone2_[%],minus_56_peski_hydrocyclone2_[%]
68.8365,16/03/23,14:13÷14:23,48.5,85.7,114.0,3.1,25.10,60.85,5.7,0.52,97.25,,,,1.3,33.20,38.40,5.9,2.63,77.85,,,
57.5269,20/03/23,8:55÷9:04,46.8,77.3,114.4,3.4,27.28,59.47,4.8,0.85,95.20,1.6,59.81,24.90,1.9,39.22,34.92,5.1,2.34,79.59,0.8,64.55,12.65
61.6958,20/03/23,11:17÷11:21,47.2,77.8,114.6,3.2,29.06,57.56,4.8,1.44,92.86,,,,2.0,35.35,38.54,5.5,5.39,76.45,,,
47.2071,20/03/23,13:53÷13:57,47.5,91.3,126.5,4.6,7.56,79.96,5.0,0.64,94.62,,,,2.0,39.82,37.27,5.1,7.54,68.99,,,
42.0761,21/03/23,9:00÷9:15,39.7,79.0,105.2,4.4,10.65,75.35,5.5,0.41,97.58,1.1,50.90,32.65,2.2,28.75,43.79,5.8,2.68,78.77,1.1,48.69,21.77
59.3515,21/03/23,11:33÷11:38,46.4,85.9,116.7,3.5,24.39,61.48,5.6,1.27,94.41,,,,2.9,28.94,38.31,6.5,3.35,79.42,,,
55.0476,21/03/23,14:10÷14:15,42.6,80.8,109.3,3.5,18.38,70.92,6.2,0.40,94.40,,,,2.1,23.36,49.53,4.7,3.87,79.31,,,
58.3222,23/03/23,9:05÷9:25,47.0,122.8,160.6,4.5,27.93,58.96,6.8,2.50,91.41,0.8,67.20,17.33,2.6,37.23,34.70,5.5,5.13,66.41,0.8,61.8,12.7
58.5970,23/03/23,11:43÷11:50,47.3,123.3,160.3,4.5,14.36,75.22,9.5,0.15,94.85,,,,4.2,15.76,73.48,10.8,0.60,80.43,,,
67.0990,23/03/23,14:11÷14:16,49.5,114.0,155.8,3.8,18.35,69.76,6.1,1.36,94.16,,,,2.7,29.33,43.41,5.2,6.37,72.07,,,
98.0212,24/03/23,9:00÷9:16,46.8,127.3,161.6,2.8,13.14,71.15,6.3,1.46,85.26,0.7,68.64,16.19,3.0,29.94,35.17,5.6,7.72,59.17,0.6,72.8,11.58
51.9238,24/03/23,11:42÷11:48,45.2,136.2,157.9,5.4,6.59,81.38,6.8,1.40,85.35,,,,2.9,33.6,32.68,7.9,4.82,60.94,,,
73.7744,24/03/23,14:06÷14:11,47.9,137.0,154.2,3.9,20.12,65.11,6.4,1.72,84.14,,,,3.7,25.04,42.84,5.4,9.46,55.79,,,
62.9278,29/03/23,8:45÷9:00,51.5,116.8,151.4,4.2,17.15,70.13,5.7,0.78,90.45,0.8,70.74,7.42,2.5,27.41,48.56,5.0,8.17,64.94,0.6,70.83,11.63
44.9365,29/03/23,11:32÷11:37,51.0,78.0,102.9,4.5,28.47,51.70,6.8,2.92,92.77,,,,2.8,30.79,35.99,4.9,8.13,49.21,,,
71.3188,29/03/23,14:20÷14:25,48.4,110.8,150.1,3.5,20.84,63.11,5.8,3.41,87.83,,,,2.6,43.14,25.04,6.5,4.33,63.33,,,
78.6672,30/03/23,9:05÷9:15,47.9,101.9,124.3,3.0,18.84,66.21,4.4,6.25,78.27,0.7,73.83,10.16,1.9,42.15,33.41,3.7,11.49,56.62,0.7,77.99,5.18
46.9124,30/03/23,11:35÷11:40,50.7,91.2,107.3,4.7,8.31,82.13,5.8,1.68,93.50,,,,6.0,10.36,65.64,6.1,1.74,80.83,,,
56.8600,30/03/23,14:10÷14:15,50.8,103.1,156.4,4.2,14.72,71.50,5.1,3.65,85.15,,,,3.3,29.00,46.54,4.7,12.77,60.95,,,
56.6632,31/03/23,9:00÷9:20,53.9,121.6,141.0,4.8,12.06,74.95,7.0,3.94,80.28,0.7,51.21,31.54,3.2,38.66,24.02,4.8,5.87,59.58,0.8,70.17,7.08
45.7057,31/03/23,11:32÷11:37,51.8,95.8,151.4,5.0,12.77,72.27,6.7,0.66,87.41,,,,3.5,27.05,43.34,6.4,5.00,76.17,,,
68.8375,31/03/23,13:40÷13:45,52.0,96.5,151.7,3.4,25.89,55.01,4.5,12.83,64.07,,,,3.5,37.28,28.39,5.4,11.39,57.22,,,
111.5607,03/04/23,9:52÷10:10,51.0,102.5,143.8,2.2,20.26,63.35,5.9,0.29,95.81,1.1,59.45,20.58,1.3,46.58,23.78,5.5,4.65,62.83,0.5,68.77,13.19
78.6657,03/04/23,11:41÷11:47,52.0,123.6,154.7,3.5,27.45,52.02,6.9,1.02,91.99,,,,2.0,35.93,33.84,8.3,3.25,59.12,,,
40.7350,03/04/23,14:18÷14:24,51.0,123.6,155.1,6.6,6.53,81.43,5.8,7.08,82.06,,,,1.7,42.12,34.84,4.9,16.6,52.55,,,
48.5361,05/04/23,8:45÷9:01,40.3,61.2,101.3,3.3,19.21,63.94,4.0,3.06,77.73,2.2,74.44,2.04,2.1,34.69,36.55,4.3,2.47,73.15,1.1,66.14,4.42
70.5138,05/04/23,11:53÷11:58,45.5,83.4,125.4,2.9,21.46,62.48,5.1,1.77,77.71,,,,2.0,25.78,50.96,4.8,2.80,71.07,,,
70.4741,05/04/23,14:13÷14:18,48.7,95.5,150.9,3.2,23.89,62.08,4.7,6.57,73.29,,,,3.4,49.04,23.69,4.7,10.38,57.03,,,
92.9631,10/04/23,8:53÷9:01,49.0,120.7,131.7,2.9,35.30,51.28,5.5,1.96,87.95,0.9,69.16,10.12,1.8,41.42,37.14,4.8,8.86,59.89,6.0,76.32,10.27
86.0612,10/04/23,11:18÷11:22,49.3,124.7,131.8,3.2,27.38,56.59,6.5,0.65,95.33,,,,2.6,43.34,29.90,6.3,2.90,76.15,,,
90.5489,10/04/23,13:40÷13:46,48.2,122.9,137.0,3.0,27.83,57.58,5.1,0.79,95.50,,,,2.7,34.06,39.47,4.8,5.92,73.89,,,
